land_id,project_type,total_area_acres,num_claimants,documents_complete,legal_dispute,ownership_conflict,compensation_verified,forest_clearance_required,forest_clearance_obtained,gram_sabha_noc_obtained,delayed,days_delayed,risk_level
L0001,Railway,36.62,4,1,1,0,1,1,0,0,1,280,High
L0002,Metro,11.85,1,1,1,0,0,0,1,0,1,239,High
L0003,Railway,18.96,4,0,0,0,1,0,1,1,0,9,Medium
L0004,Railway,2.06,2,1,0,0,1,0,1,1,0,1,Low
L0005,Other,18.41,5,0,1,1,1,0,1,1,1,389,High
L0006,Metro,4.38,2,1,1,0,1,0,1,1,1,230,High
L0007,Airport,16.17,3,1,1,0,1,1,1,1,1,206,Medium
L0008,Metro,6.29,5,0,1,0,1,0,1,1,1,271,High
L0009,Metro,5.03,4,0,0,0,1,0,1,1,1,147,Medium
L0010,Highway,6.96,3,1,0,0,1,1,1,1,0,1,Low
L0011,Railway,8.46,3,1,1,1,1,1,1,1,1,306,High
L0012,Highway,0.95,3,0,0,0,0,0,1,0,1,196,High
L0013,Metro,1.51,4,1,0,0,1,0,1,1,1,62,Medium
L0014,Metro,14.08,1,1,0,0,0,0,1,1,1,143,Medium
L0015,Other,2.28,2,1,0,0,1,0,1,1,0,2,Low
L0016,Highway,27.8,5,1,0,0,1,1,1,0,1,79,Medium
L0017,Metro,6.09,5,0,0,0,0,0,1,1,1,172,Medium
L0018,Hospital,13.36,3,1,0,0,1,0,1,0,0,7,Low
L0019,Airport,8.88,4,1,1,1,0,0,1,0,1,355,High
L0020,Other,5.32,4,1,0,0,1,0,1,1,0,4,Low
L0021,Hospital,32.41,2,1,0,0,1,0,1,1,0,2,Low
L0022,Railway,4.05,3,0,0,0,1,1,0,1,1,233,High
L0023,Highway,10.86,1,1,0,0,1,1,1,0,0,5,Low
L0024,Airport,3.42,3,1,0,0,1,0,1,1,0,3,Low
L0025,Airport,4.29,2,1,1,0,1,1,1,1,1,227,Medium
L0026,Highway,33.23,6,0,0,1,0,1,1,1,1,306,High
L0027,Highway,0.71,6,1,0,0,0,0,1,1,1,120,Medium
L0028,Highway,12.84,1,1,0,0,1,0,1,1,0,6,Low
L0029,Other,6.36,4,0,1,1,1,0,1,1,1,355,High
L0030,Railway,4.12,5,1,0,0,1,0,1,1,0,10,Low
L0031,Highway,3.95,5,0,0,1,1,0,1,1,1,245,Medium
L0032,Highway,28.79,2,1,0,0,1,1,1,1,0,8,Low
L0033,Airport,19.32,3,1,1,0,1,1,1,1,1,217,Medium
L0034,Highway,14.99,3,1,1,1,1,1,0,0,1,374,High
L0035,Metro,5.67,5,1,0,0,1,0,1,1,0,13,Medium
L0036,Airport,14.21,3,1,1,0,1,0,1,1,1,226,Medium
L0037,Hospital,9.5,3,1,0,0,1,0,1,1,0,18,Low
L0038,Highway,4.46,6,1,0,1,0,0,1,0,1,248,High
L0039,Highway,4.44,4,1,1,0,1,0,1,1,1,184,Medium
L0040,Highway,6.17,5,1,0,0,1,1,1,1,0,16,Medium
L0041,Hospital,98.57,7,1,1,0,1,0,1,1,0,0,Medium
L0042,Metro,9.32,7,1,1,1,1,0,1,1,1,320,High
L0043,Other,12.02,5,1,0,0,1,0,1,1,0,12,Low
L0044,Railway,22.65,3,0,0,0,1,1,1,1,0,7,Medium
L0045,Railway,14.85,4,1,0,0,1,0,1,1,0,6,Low
L0046,Railway,5.78,3,1,0,1,1,0,1,1,1,197,Medium
L0047,Highway,4.39,4,1,0,0,1,0,1,1,0,5,Low
L0048,Railway,1.86,4,0,0,1,0,1,1,0,1,274,High
L0049,Railway,5.76,6,0,0,1,1,0,1,1,1,266,Medium
L0050,Highway,1.79,2,0,1,1,0,0,1,1,1,425,High
L0051,Highway,14.83,5,1,0,0,1,0,1,1,0,1,Medium
L0052,Other,15.39,5,1,1,1,0,0,1,1,1,320,High
L0053,Railway,2.23,3,1,0,0,1,0,1,1,0,21,Low
L0054,Hospital,40.74,4,1,1,0,1,0,1,1,0,12,Medium
L0055,Highway,2.64,4,1,0,0,1,1,1,1,0,5,Medium
L0056,Highway,28.08,5,1,0,0,0,0,1,1,0,6,Medium
L0057,Hospital,19.15,2,0,0,0,1,0,1,1,0,13,Low
L0058,Highway,22.98,3,1,1,1,1,0,1,1,1,305,High
L0059,Airport,11.47,5,1,1,0,0,1,1,1,1,272,High
L0060,Metro,31.19,4,1,0,0,1,0,1,1,0,0,Medium
L0061,Other,22.41,5,0,0,1,1,0,1,1,1,234,Medium
L0062,Hospital,31.26,5,1,0,1,0,0,1,1,0,2,Medium
L0063,Airport,4.4,2,1,0,0,1,0,1,1,0,2,Low
L0064,Railway,7.18,5,1,0,0,1,0,1,1,0,5,Low
L0065,Railway,17.9,2,1,1,0,1,0,1,1,1,236,Medium
L0066,Highway,3.65,2,0,1,0,1,1,1,1,1,253,High
L0067,Metro,20.23,5,1,1,0,1,0,1,1,1,197,Medium
L0068,Hospital,20.91,3,1,0,0,1,0,1,1,0,4,Low
L0069,Highway,36.08,4,1,0,0,0,1,1,1,0,14,Medium
L0070,Other,9.45,2,0,1,0,1,0,1,1,1,256,Medium
L0071,Railway,8.76,3,1,0,0,1,0,1,1,0,4,Low
L0072,Airport,7.08,4,1,0,1,1,0,1,1,1,189,Medium
L0073,Metro,8.26,5,0,1,1,1,0,1,1,1,382,High
L0074,Railway,5.7,5,1,1,1,0,1,1,1,1,363,High
L0075,Highway,36.51,3,1,0,0,1,0,1,0,0,2,Medium
L0076,Other,35.1,1,0,0,0,1,0,1,0,0,0,Medium
L0077,Metro,4.73,9,0,0,1,0,0,1,1,1,298,High
L0078,Metro,20.05,7,0,0,0,0,0,1,1,1,196,Medium
L0079,Airport,74.69,5,1,0,0,1,1,0,1,1,169,Medium
L0080,Hospital,15.59,4,0,1,0,1,0,1,1,1,276,Medium
L0081,Highway,6.99,5,1,0,1,1,0,1,1,1,175,Medium
L0082,Highway,38.33,5,1,0,0,1,0,1,0,0,18,Medium
L0083,Railway,12.2,2,1,0,0,1,1,1,1,0,10,Low
L0084,Highway,3.99,1,1,0,1,1,1,0,0,1,279,High
L0085,Railway,8.36,6,1,0,0,1,0,1,1,0,9,Low
L0086,Metro,17.27,4,0,0,1,1,0,1,1,1,245,High
L0087,Metro,17.46,3,0,0,0,1,0,1,1,1,138,Medium
L0088,Airport,9.85,5,0,0,0,1,0,1,1,1,129,Medium
L0089,Railway,1.22,4,1,0,0,1,1,0,1,0,0,Medium
L0090,Highway,8.09,4,1,0,0,1,1,1,0,0,26,Medium
L0091,Highway,16.27,7,0,0,0,1,0,1,1,1,179,Medium
L0092,Highway,24.86,6,1,1,0,1,0,1,1,1,196,Medium
L0093,Metro,3.91,3,1,0,0,1,0,1,0,1,89,Medium
L0094,Railway,8.35,6,0,0,1,1,1,1,1,1,229,Medium
L0095,Railway,18.44,3,1,0,1,1,1,0,1,1,271,High
L0096,Highway,1.83,3,1,0,1,1,0,1,1,1,169,Medium
L0097,Railway,20.74,3,1,0,0,1,0,1,1,0,12,Low
L0098,Metro,8.77,7,0,0,1,0,0,1,1,1,284,High
L0099,Other,6.95,7,0,0,1,1,0,1,1,1,260,Medium
L0100,Metro,29.71,5,0,0,0,1,0,1,0,1,174,High
L0101,Railway,1.36,2,1,0,0,1,1,0,1,1,144,Medium
L0102,Railway,18.32,4,1,1,1,0,0,1,1,1,334,High
L0103,Metro,36.11,3,1,0,0,1,0,1,1,0,6,Medium
L0104,Railway,0.92,3,0,1,0,0,1,1,1,1,296,High
L0105,Highway,52.28,2,1,0,0,1,0,1,1,0,0,Low
L0106,Railway,15.14,4,1,0,0,0,0,1,0,1,130,Medium
